type,id,author,editor,advisor,note,abstract,observaoes,GUI é o foco do estudo,ContextoProcessosDeNegocio,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1358641,Christel  Dehaes and Lore  Nuyens,,,,,,,,Cutting Edge Usability Design and Smashing Graphics: The Perfect Recipe for Firing Up a Sophisticated Pharmaceutical Touch Screen Application,2095--2108,,14,"graphical design, touch screen, user interface design",10.1145/1358628.1358641,,,,,,,2008,,CHI '08 Extended Abstracts on Human Factors in Computing Systems,CHI EA '08,,978-1-60558-012-8,"Florence, Italy",ACM,"New York, NY, USA"
article,2807452,Ken  Nakagaki and Sean  Follmer and Hiroshi  Ishii,,,,,,,,"LineFORM: Actuated Curve Interfaces for Display, Interaction, and Constraint",333--339,,7,"curves, shape-changing interfaces, tangible user interfaces",10.1145/2807442.2807452,,,,,,,2015,,Proceedings of the 28th Annual ACM Symposium on User Interface Software &#38; Technology,UIST '15,,978-1-4503-3779-3,"Daegu, Kyungpook, Republic of Korea",ACM,"New York, NY, USA"
article,146495,Prasun  Dewan and Rajiv  Choudhary,,,,,,,,A High-level and Flexible Framework for Implementing Multiuser User Interfaces,345--380,,36,"computer-supported cooperative work, editing, groupware, user interface management systems",10.1145/146486.146495,ACM Trans. Inf. Syst.,Oct. 1992,10,4,,October,1992,1046-8188,,,,,,ACM,"New York, NY, USA"
article,1128942,Wai Leng Lee and Mark  Green,,,,,,,,Automatic Layout for 3D User Interfaces Construction,113--120,,8,"3D user interface, layout technique",10.1145/1128923.1128942,,,,,,,2006,,Proceedings of the 2006 ACM International Conference on Virtual Reality Continuum and Its Applications,VRCIA '06,,1-59593-324-7,"Hong Kong, China",ACM,"New York, NY, USA"
article,2023626,Plamen  Paskalev and Ilka  Serafimova,,,,,,,,Rule Based Framework for Intelligent GUI Adaptation,101--108,,8,"clips, intelligent user interfaces (IUI), machine learning, rule based systems",10.1145/2023607.2023626,,,,,,,2011,,Proceedings of the 12th International Conference on Computer Systems and Technologies,CompSysTech '11,,978-1-4503-0917-2,"Vienna, Austria",ACM,"New York, NY, USA"
article,1120306,Brad A. Myers,,,,,,,,The Amulet User Interface Development Environment: Special Interest Group Meeting,134--134,,1,"C++, interface builders, toolkits, user interface development environments, user interface management systems",10.1145/1120212.1120306,,,,,,,1997,,CHI '97 Extended Abstracts on Human Factors in Computing Systems,CHI EA '97,,0-89791-926-2,"Atlanta, Georgia",ACM,"New York, NY, USA"
article,988683,John T. Richards and Vicki L. Hanson,,,,,,,,Web Accessibility: A Broader View,72--79,,8,"standards, user interface, web accessibility",10.1145/988672.988683,,,,,,,2004,,Proceedings of the 13th International Conference on World Wide Web,WWW '04,,1-58113-844-X,"New York, NY, USA",ACM,"New York, NY, USA"
article,1640339,Andrew T. Sabin and Bryan  Pardo,,,,,,,,2DEQ: An Intuitive Audio Equalizer,435--436,,2,"adaptive filters, music, user interfaces",10.1145/1640233.1640339,,,,,,,2009,,Proceedings of the Seventh ACM Conference on Creativity and Cognition,C&#38;C '09,,978-1-60558-865-0,"Berkeley, California, USA",ACM,"New York, NY, USA"
article,2557674,Alexander  Nihm and Andre  Drews and Dietmar P. F. M&#246;ller and Hamid  Vakilzadian,,,,,,,,EkuSim: Realistic Evacuation Simulation with a Fast Hierarchical Algorithm,6:1--6:5,6,5,"aircraft evacuation, graphic user interface, hierarchical path finding, panic behavior, parallel computation",,,,,,,,2013,,Proceedings of the 2013 Grand Challenges on Modeling and Simulation Conference,GCMS '13,,978-1-62748-275-2,"Toronto, Ontario, Canada",Society for Modeling &#38; Simulation International,"Vista, CA"
article,604090,W. Lewis Johnson,,,,,,,,Interaction Tactics for Socially Intelligent Pedagogical Agents,251--253,,3,"conversational interfaces, interface agents",10.1145/604045.604090,,,,,,,2003,,Proceedings of the 8th International Conference on Intelligent User Interfaces,IUI '03,,1-58113-586-6,"Miami, Florida, USA",ACM,"New York, NY, USA"
article,2047239,Jinha  Lee and Rehmi  Post and Hiroshi  Ishii,,,,,,,,ZeroN: Mid-air Tangible Interaction Enabled by Computer Controlled Magnetic Levitation,327--336,,10,"3D interface, gesture interface, magnetic levitation, tangible interface",10.1145/2047196.2047239,,,,,,,2011,,Proceedings of the 24th Annual ACM Symposium on User Interface Software and Technology,UIST '11,,978-1-4503-0716-1,"Santa Barbara, California, USA",ACM,"New York, NY, USA"
article,1357260,James  Lin and James A. Landay,,,,,,,,Employing Patterns and Layers for Early-stage Design and Prototyping of Cross-device User Interfaces,1313--1322,,10,"cross-device user interfaces, mobile computing, prototyping, voice user interfaces, web user interfaces",10.1145/1357054.1357260,,,,,,,2008,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '08,,978-1-60558-011-1,"Florence, Italy",ACM,"New York, NY, USA"
article,1452416,Andreas  Ratzka,,,,,,,,Explorative Studies on Multimodal Interaction in a PDA- and Desktop-based Scenario,121--128,,8,"mobile computing, multimodality, user interface patterns",10.1145/1452392.1452416,,,,,,,2008,,Proceedings of the 10th International Conference on Multimodal Interfaces,ICMI '08,,978-1-60558-198-9,"Chania, Crete, Greece",ACM,"New York, NY, USA"
article,2814475,Marcin  Wichrowski and Danijel  Kor&#382;inek and Krzysztof  Szklanny,,,,,,,,Google Glass Development in Practice: UX Design Sprint Workshops,11:1--11:12,11,12,"Google Glass, HCI workshops, User interface, education, graphical user interface, ubiquitous computing, usability evaulation, user experience, wearable computing",10.1145/2814464.2814475,,,,,,,2015,,"Proceedings of the Mulitimedia, Interaction, Design and Innnovation",MIDI '15,,978-1-4503-3601-7,"Warsaw, Poland",ACM,"New York, NY, USA"
article,192491,Bradley T. Vander Zanden,,,,,,,,Optimizing Toolkit-generated Graphical Interfaces,157--166,,10,"automatic redisplay, constraints, development tools, optimization, structured graphics",10.1145/192426.192491,,,,,,,1994,,Proceedings of the 7th Annual ACM Symposium on User Interface Software and Technology,UIST '94,,0-89791-657-3,"Marina del Rey, California, USA",ACM,"New York, NY, USA"
article,2069723,Ramsey  Nasser,,,,,,,,The Zajal Programming Language,413--414,,2,"creative coding, education, user interface",10.1145/2069618.2069723,,,,,,,2011,,Proceedings of the 8th ACM Conference on Creativity and Cognition,C&#38;C '11,,978-1-4503-0820-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
article,286574,Cliff  Wilding,,,,,,,,Practical GUI Screen Design: Making It Usable,125--126,,2,"graphic design, interaction design, screen design, user interface design, user-centred design, visual design",10.1145/286498.286574,,,,,,,1998,,CHI 98 Conference Summary on Human Factors in Computing Systems,CHI '98,,1-58113-028-7,"Los Angeles, California, USA",ACM,"New York, NY, USA"
article,305845,Elliot  Koffman and Ursula  Wolz,,,,,,,,CS1 Using Java Language Features Gently,40--43,,4,"CS1, Java, graphics, interactivity, programming, user interface",10.1145/305786.305845,,,,,,,1999,,Proceedings of the 4th Annual SIGCSE/SIGCUE ITiCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '99,,1-58113-087-2,"Cracow, Poland",ACM,"New York, NY, USA"
article,305845,Elliot  Koffman and Ursula  Wolz,,,,,,,,CS1 Using Java Language Features Gently,40--43,,4,"CS1, Java, graphics, interactivity, programming, user interface",10.1145/384267.305845,SIGCSE Bull.,Sept. 1999,31,3,,June,1999,0097-8418,,,,,,ACM,"New York, NY, USA"
article,1899954,Hwan-Soo  Yoo and Seong-Whan  Kim and Ok-Hue  Cho,,,,,,,,EDGE: An Easy Design Tool of Game Event for Rapid Game Development,4:1--4:2,4,2,"authoring, builder, game, user interface",10.1145/1899950.1899954,,,,,,,2010,,ACM SIGGRAPH ASIA 2010 Sketches,SA '10,,978-1-4503-0523-5,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,1055008,Yuji  Ayatsuka and Jun  Rekimoto,,,,,,,,tranSticks: Physically Manipulatable Virtual Connections,251--260,,10,"connection control, tangible user interface",10.1145/1054972.1055008,,,,,,,2005,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '05,,1-58113-998-5,"Portland, Oregon, USA",ACM,"New York, NY, USA"
article,1996491,Jan  Van den Bergh and Kris  Luyten and Karin  Coninx,,,,,,,,CAP3: Context-sensitive Abstract User Interface Specification,31--40,,10,"abstract user interface, cap3, graphical notation, modeling language, user interface design",10.1145/1996461.1996491,,,,,,,2011,,Proceedings of the 3rd ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '11,,978-1-4503-0670-6,"Pisa, Italy",ACM,"New York, NY, USA"
article,1030402,Alda Lopes Gan&#231;arski and Pedro Rangel Henriques,,,,,,,,Presenting the Results of Relevance-oriented Search over XML Documents,31--33,,3,user interface for XML retrieval,10.1145/1030397.1030402,,,,,,,2004,,Proceedings of the 2004 ACM Symposium on Document Engineering,DocEng '04,,1-58113-938-1,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA"
article,2663629,Raphael  Pham and Helge  Holzmann and Kurt  Schneider and Christian  Br&#252;ggemann,,,,,,,,Beyond Plain Video Recording of GUI Tests: Linking Test Case Instructions with Visual Response Documentation,103--109,,7,"automated test, code tracing, component, graphical user interface, video",,,,,,,,2012,,Proceedings of the 7th International Workshop on Automation of Software Test,AST '12,,978-1-4673-1822-8,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"
article,355550,Stephanie  Ludi,,,,,,,,Animated Icons: Re-inventing Visual Cues for the Visually Impaired Computer User,145--146,,2,"graphical user interface, icons, universal accessibility, visually impaired",10.1145/355460.355550,,,,,,,2000,,Proceedings on the 2000 Conference on Universal Usability,CUU '00,,1-58113-314-6,"Arlington, Virginia, USA",ACM,"New York, NY, USA"
article,1226973,Nicolai  Marquardt and Saul  Greenberg,,,,,,,,Distributed Physical Interfaces with Shared Phidgets,13--20,,8,"distributed physical user interfaces, phidgets",10.1145/1226969.1226973,,,,,,,2007,,Proceedings of the 1st International Conference on Tangible and Embedded Interaction,TEI '07,,978-1-59593-619-6,"Baton Rouge, Louisiana",ACM,"New York, NY, USA"
article,1502705,V&#237;ctor  L&#243;pez-Jaquero and Francisco  Montero and Fernando  Real,,,,,,,,Designing User Interface Adaptation Rules with T: XML,383--388,,6,"t:xml tool, user interface adaptation, user interface development environment",10.1145/1502650.1502705,,,,,,,2009,,Proceedings of the 14th International Conference on Intelligent User Interfaces,IUI '09,,978-1-60558-168-2,"Sanibel Island, Florida, USA",ACM,"New York, NY, USA"
article,1807309,Mark  Sifer and Jian  Lin and Yutaka  Watanobe and Subhash  Bhalla,,,,,,,,Integrating Keyword Search with Multiple Dimension Tree Views over a Summary Corpus Data Cube,1167--1170,,4,"faceted search, olap, user interface",10.1145/1807167.1807309,,,,,,,2010,,Proceedings of the 2010 ACM SIGMOD International Conference on Management of Data,SIGMOD '10,,978-1-4503-0032-2,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA"
article,1120281,Pattie  Maes and Ben  Shneiderman and Jim  Miller,,,,,,,,Intelligent Software Agents vs. User-controlled Direct Manipulation: A Debate,105--106,,2,"agents, direct manipulation, graphical representation, intelligent interfaces",10.1145/1120212.1120281,,,,,,,1997,,CHI '97 Extended Abstracts on Human Factors in Computing Systems,CHI EA '97,,0-89791-926-2,"Atlanta, Georgia",ACM,"New York, NY, USA"
article,502909,Bruce H. Thomas and Paul  Calder,,,,,,,,Applying Cartoon Animation Techniques to Graphical User Interfaces,198--222,,25,"Animation, direct manipulation, graphical user interfaces, graphics, toolkits",10.1145/502907.502909,ACM Trans. Comput.-Hum. Interact.,September 2001,8,3,,September,2001,1073-0516,,,,,,ACM,"New York, NY, USA"
article,291108,Angel  Puerta and Jacob  Eisenstein,,,,,,,,Towards a General Computational Framework for Model-based Interface Development Systems,171--178,,8,"interface models, knowledge-based user interface design, model-based interface development, user interface development tools",10.1145/291080.291108,,,,,,,1999,,Proceedings of the 4th International Conference on Intelligent User Interfaces,IUI '99,,1-58113-098-8,"Los Angeles, California, USA",ACM,"New York, NY, USA"
article,634209,Ryuji  Wakikawa and Jonathan  Trevor and Bill  Schilit and John  Boreczky,,,,,,,,Roomotes: Ubiquitous Room-based Remote Control over Web Phones,239--240,,2,"cell phones, mobile computing, ubiquitous computing, user interfaces, virtual/physical interfaces",10.1145/634067.634209,,,,,,,2001,,CHI '01 Extended Abstracts on Human Factors in Computing Systems,CHI EA '01,,1-58113-340-5,"Seattle, Washington",ACM,"New York, NY, USA"
article,1401657,Ki-Uk  Kyung and Jun-Young  Lee,,,,,,,,wUbi-Pen: Windows Graphical User Interface Interacting with Haptic Feedback Stylus,42:1--42:4,42,4,"GUI, haptic, image, pen, stylus, tactile, windows",10.1145/1401615.1401657,,,,,,,2008,,ACM SIGGRAPH 2008 New Tech Demos,SIGGRAPH '08,,,"Los Angeles, California",ACM,"New York, NY, USA"
article,801598,"J. W. Lewis,Ph.D.",,,,,,,,An Effective Graphics User Interface for Rules and Inference Mechanisms,139--143,,5,"Expert systems, User interfaces AND/OR trees",10.1145/800045.801598,,,,,,,1983,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '83,,0-89791-121-0,"Boston, Massachusetts, USA",ACM,"New York, NY, USA"
article,1449762,David T. Gallant and Andrew G. Seniuk and Roel  Vertegaal,,,,,,,,Towards More Paper-like Input: Flexible Input Devices for Foldable Interaction Styles,283--286,,4,"foldable input device, organic user interface, paper interface",10.1145/1449715.1449762,,,,,,,2008,,Proceedings of the 21st Annual ACM Symposium on User Interface Software and Technology,UIST '08,,978-1-59593-975-3,"Monterey, CA, USA",ACM,"New York, NY, USA"
article,2379645,Salvador  Gonz&#225;lez and Francisco  Montero and Pascual  Gonz&#225;lez,,,,,,,,BaLOReS: A Suite of Principles and Metrics for Graphical User Interface Evaluation,9:1--9:2,9,2,"aesthetic design, design principle, metric, user interface",10.1145/2379636.2379645,,,,,,,2012,,Proceedings of the 13th International Conference on Interacci\'{O}N Persona-Ordenador,INTERACCION '12,,978-1-4503-1314-8,"Elche, Spain",ACM,"New York, NY, USA"
article,1379141,Jae-Kyung  Kim and Rosta  Farzan and Peter  Brusilovsky,,,,,,,,Spatial Annotation and Social Navigation Support for Electronic Books,233--234,,2,"annotation, social navigation, user interfaces",10.1145/1379092.1379141,,,,,,,2008,,Proceedings of the Nineteenth ACM Conference on Hypertext and Hypermedia,HT '08,,978-1-59593-985-2,"Pittsburgh, PA, USA",ACM,"New York, NY, USA"
article,2523447,Leena  Vent&#228;-Olkkonen and Maaret  Posti and Jonna  H&#228;kkil&#228;,,,,,,,,How to Use 3D in Stereoscopic Mobile User Interfaces: Study on Initial User Perceptions,39:39--39:42,39,4,"3D user interfaces, Stereoscopic user interfaces, mobile devices, user studies",10.1145/2523429.2523447,,,,,,,2013,,Proceedings of International Conference on Making Sense of Converging Media,AcademicMindTrek '13,,978-1-4503-1992-8,"Tampere, Finland",ACM,"New York, NY, USA"
article,604479,"Akanksha  Huang and Z.  Huang and B.  Prabhakaran and C. R. Ruiz,Jr.",,,,,,,,Interactive Visual Method for Motion and Model Reuse,29--ff,,,"3D models, animation, graphics user interface, human computer interactions, reusing, visualization",10.1145/604471.604479,,,,,,,2003,,Proceedings of the 1st International Conference on Computer Graphics and Interactive Techniques in Australasia and South East Asia,GRAPHITE '03,,1-58113-578-5,"Melbourne, Australia",ACM,"New York, NY, USA"
article,1935705,Xiao  Xiao and Hiroshi  Ishii,,,,,,,,MirrorFugue: Communicating Hand Gesture in Remote Piano Collaboration,13--20,,8,"computer supported collaborative work, computer supported learning, gesture interfaces, music learning interfaces, tangible user interfaces",10.1145/1935701.1935705,,,,,,,2011,,"Proceedings of the Fifth International Conference on Tangible, Embedded, and Embodied Interaction",TEI '11,,978-1-4503-0478-8,"Funchal, Portugal",ACM,"New York, NY, USA"
article,263505,Jun  Rekimoto,,,,,,,,Pick-and-drop: A Direct Manipulation Technique for Multiple Computer Environments,31--39,,9,"computer augmented environments, direct manipulation, drag-and-drop, graphical user interfaces, input devices, multi-computer user interfaces, pen interfaces, stylus interfaces, ubiquitous computing",10.1145/263407.263505,,,,,,,1997,,Proceedings of the 10th Annual ACM Symposium on User Interface Software and Technology,UIST '97,,0-89791-881-9,"Banff, Alberta, Canada",ACM,"New York, NY, USA"
article,1996526,Albrecht  Schmidt,,,,,,,,Engineering Interactive Ubiquitous Computing Systems,229--230,,2,"ubiquitous computing, user interface engineering",10.1145/1996461.1996526,,,,,,,2011,,Proceedings of the 3rd ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '11,,978-1-4503-0670-6,"Pisa, Italy",ACM,"New York, NY, USA"
article,632736,Takeo  Igarashi and Elizabeth D. Mynatt and W. Keith Edwards and Anthony  LaMarca,,,,,,,,Demonstrating Flatland User Interfaces,27--28,,2,"pen computing, user interface, whiteboard",10.1145/632716.632736,,,,,,,1999,,CHI '99 Extended Abstracts on Human Factors in Computing Systems,CHI EA '99,,1-58113-158-5,"Pittsburgh, Pennsylvania",ACM,"New York, NY, USA"
article,1324955,Frank  Loewenich and Frederic  Maire,,,,,,,,Hands-free Mouse-pointer Manipulation Using Motion-tracking and Speech Recognition,295--302,,8,"accessibility, audio, auditory interaction, disability, graphical user interface, human-computer interaction, multi-modal interfaces, rehabilitation engineering, users with special needs",10.1145/1324892.1324955,,,,,,,2007,,Proceedings of the 19th Australasian Conference on Computer-Human Interaction: Entertaining User Interfaces,OZCHI '07,,978-1-59593-872-5,"Adelaide, Australia",ACM,"New York, NY, USA"
article,1095065,Nicholas  Diakopoulos and Irfan  Essa,,,,,,,,Mediating Photo Collage Authoring,183--186,,4,"painting interface, photo collage",10.1145/1095034.1095065,,,,,,,2005,,Proceedings of the 18th Annual ACM Symposium on User Interface Software and Technology,UIST '05,,1-59593-271-2,"Seattle, WA, USA",ACM,"New York, NY, USA"
article,2858058,Julie  Ducasse and Marc J-M Mac&#233; and Marcos  Serrano and Christophe  Jouffrais,,,,,,,,Tangible Reels: Construction and Exploration of Tangible Maps by Visually Impaired Users,2186--2197,,12,"interactive graphics, non-visual tangible interfaces",10.1145/2858036.2858058,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"Santa Clara, California, USA",ACM,"New York, NY, USA"
article,2929468,Ryohei  Tanaka and Takuji  Narumi and Tomohiro  Tanikawa and Michitaka  Hirose,,,,,,,,Guidance Field: Vector Field for Implicit Guidance in Virtual Environments,9:1--9:2,9,2,"3D navigation, user guidance, user interface",10.1145/2929464.2929468,,,,,,,2016,,ACM SIGGRAPH 2016 Emerging Technologies,SIGGRAPH '16,,978-1-4503-4372-5,"Anaheim, California",ACM,"New York, NY, USA"
article,2087780,Xiaofan  Qian and Ying  Yang and Yong  Gong,,,,,,,,The Art of Metaphor: A Method for Interface Design Based on Mental Models,171--178,,8,"GUI, human factors, interface design, mental model, visual interface",10.1145/2087756.2087780,,,,,,,2011,,Proceedings of the 10th International Conference on Virtual Reality Continuum and Its Applications in Industry,VRCAI '11,,978-1-4503-1060-4,"Hong Kong, China",ACM,"New York, NY, USA"
article,964704,George  Fitzmaurice and Azam  Khan and Robert  Piek&#233; and Bill  Buxton and Gordon  Kurtenbach,,,,,,,,Tracking Menus,71--79,,9,"floating palette, graphical user interface, menu system, pen based user interfaces, tablet PC",10.1145/964696.964704,,,,,,,2003,,Proceedings of the 16th Annual ACM Symposium on User Interface Software and Technology,UIST '03,,1-58113-636-6,"Vancouver, Canada",ACM,"New York, NY, USA"
article,1458421,Jae-Kyung  Kim and Rosta  Farzan and Peter  Brusilovsky,,,,,,,,Social Navigation and Annotation for Electronic Books,25--28,,4,"annotation, social navigation, user interfaces",10.1145/1458412.1458421,,,,,,,2008,,Proceedings of the 2008 ACM Workshop on Research Advances in Large Digital Book Repositories,BooksOnline '08,,978-1-60558-249-8,"Napa Valley, California, USA",ACM,"New York, NY, USA"
article,1869010,Sini&#353;a  Kolari&#263; and Halil  Erhan and Robert  Woodbury and Bernhard E. Riecke,,,,,,,,Comprehending Parametric CAD Models: An Evaluation of Two Graphical User Interfaces,707--710,,4,"3D model comprehension, CAD, GUI, interfaces, parametric CAD, parametric models, usability",10.1145/1868914.1869010,,,,,,,2010,,Proceedings of the 6th Nordic Conference on Human-Computer Interaction: Extending Boundaries,NordiCHI '10,,978-1-60558-934-3,"Reykjavik, Iceland",ACM,"New York, NY, USA"
article,2047228,Tsung-Hsiang  Chang and Tom  Yeh and Rob  Miller,,,,,,,,Associating the Visual Representation of User Interfaces with Their Internal Structures and Metadata,245--256,,12,"accessibility api, graphical user interfaces, pixel, text detection, text segmentation",10.1145/2047196.2047228,,,,,,,2011,,Proceedings of the 24th Annual ACM Symposium on User Interface Software and Technology,UIST '11,,978-1-4503-0716-1,"Santa Barbara, California, USA",ACM,"New York, NY, USA"
article,2926080,Berardina  De Carolis and Giuseppe  Palestra,,,,,,,,Gaze-based Interaction with a Shop Window,304--305,,2,"Information Interfaces, Natural User Interfaces",10.1145/2909132.2926080,,,,,,,2016,,Proceedings of the International Working Conference on Advanced Visual Interfaces,AVI '16,,978-1-4503-4131-8,"Bari, Italy",ACM,"New York, NY, USA"
article,2658789,Jungu  Sim and Chang-Min  Kim and Seung-Woo  Nam and Tek-Jin  Nam,,,,,,,,G-raffe: An Elevating Tangible Block Supporting 2.5D Interaction in a Tabletop Computing Environment,87--88,,2,"interface devices, spatial interaction, tangible interface",10.1145/2658779.2658789,,,,,,,2014,,Proceedings of the Adjunct Publication of the 27th Annual ACM Symposium on User Interface Software and Technology,UIST'14 Adjunct,,978-1-4503-3068-8,"Honolulu, Hawaii, USA",ACM,"New York, NY, USA"
article,1709887,John Hamilton Frazer,,,,,,,,Intelligent Physical Modelling Systems: Why?,1--2,,2,"architecture, design, tangible user interface",10.1145/1709886.1709887,,,,,,,2010,,"Proceedings of the Fourth International Conference on Tangible, Embedded, and Embodied Interaction",TEI '10,,978-1-60558-841-4,"Cambridge, Massachusetts, USA",ACM,"New York, NY, USA"
article,1228196,S. D. Pinder and D. N. Bristow and T. C. Davies,,,,,,,,Interface Design for an Aircraft Thrust and Braking Indicator/Advisor,103--110,,8,"auditory interfaces, aviation, bimodal user interfaces, cockpit user interfaces",10.1145/1228175.1228196,,,,,,,2006,,"Proceedings of the 18th Australia Conference on Computer-Human Interaction: Design: Activities, Artefacts and Environments",OZCHI '06,,1-59593-545-2,"Sydney, Australia",ACM,"New York, NY, USA"
article,2818443,Aditya Shekhar Nittala and Nico  Li and Stephen  Cartwright and Kazuki  Takashima and Ehud  Sharlin and Mario Costa Sousa,,,,,,,,PLANWELL: Spatial User Interface for Collaborative Petroleum Well-planning,19:1--19:8,19,8,"augmented reality, computer supported cooperative work, spatial user interaction, tangible user interfaces",10.1145/2818427.2818443,,,,,,,2015,,SIGGRAPH Asia 2015 Mobile Graphics and Interactive Applications,SA '15,,978-1-4503-3928-5,"Kobe, Japan",ACM,"New York, NY, USA"
article,238347,D. Christopher Dryer,,,,,,,,"Wizards, Guides, and Beyond: Rational and Empirical Methods for Selecting Optimal Intelligent User Interface Agents",265--268,,4,"agents, artificial intelligence, graphical user interface, guides, intelligent user interfaces, wizards",10.1145/238218.238347,,,,,,,1997,,Proceedings of the 2Nd International Conference on Intelligent User Interfaces,IUI '97,,0-89791-839-8,"Orlando, Florida, USA",ACM,"New York, NY, USA"
article,128721,Allen  Cypher and Marilyn  Stelzner,,,,,,,,Graphical Knowledge-based Model Editors,403--420,,18,,10.1145/107215.128721,,,,,,,,,Intelligent User Interfaces,,,0-201-50305-0,,ACM,"New York, NY, USA"
article,1518842,"Brandon T. Taylor and V. Michael Bove,Jr.",,,,,,,,Graspables: Grasp-recognition As a User Interface,917--926,,10,"grasp, user interface",10.1145/1518701.1518842,,,,,,,2009,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '09,,978-1-60558-246-7,"Boston, MA, USA",ACM,"New York, NY, USA"
article,1057124,"Dan R. Olsen,Jr. and Scott R. Klemmer",,,,,,,,The Future of User Interface Design Tools,2134--2135,,2,"ionterface builders, toolkits, user interface development environments, user interface software",10.1145/1056808.1057124,,,,,,,2005,,CHI '05 Extended Abstracts on Human Factors in Computing Systems,CHI EA '05,,1-59593-002-7,"Portland, OR, USA",ACM,"New York, NY, USA"
article,2783580,Aliaksei  Miniukovich and Antonella  De Angeli,,,,,,,,Visual Diversity and User Interface Quality,101--109,,9,"GUI automatic evaluation, algorithms of GUI quality computation, visual aesthetics, websites and mobile apps",10.1145/2783446.2783580,,,,,,,2015,,Proceedings of the 2015 British HCI Conference,British HCI '15,,978-1-4503-3643-7,"Lincoln, Lincolnshire, United Kingdom",ACM,"New York, NY, USA"
article,2818436,Takashi  Ohta and Jun  Tanaka,,,,,,,,MovieTile: Interactively Adjustable Free Shape Multi-display of Mobile Devices,18:1--18:7,18,7,"configuration, digital signage, interactive, mobile, multi-display, user interface",10.1145/2818427.2818436,,,,,,,2015,,SIGGRAPH Asia 2015 Mobile Graphics and Interactive Applications,SA '15,,978-1-4503-3928-5,"Kobe, Japan",ACM,"New York, NY, USA"
article,1979232,Chris  Harrison and Gary  Hsieh and Karl D.D. Willis and Jodi  Forlizzi and Scott E. Hudson,,,,,,,,Kineticons: Using Iconographic Motion in Graphical User Interface Design,1999--2008,,10,"animation, gui, icons, kinetic, look and feel",10.1145/1978942.1979232,,,,,,,2011,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '11,,978-1-4503-0228-9,"Vancouver, BC, Canada",ACM,"New York, NY, USA"
article,1996488,J&#233;r&#233;mie  Melchior and Jean  Vanderdonckt and Peter  Van Roy,,,,,,,,A Model-based Approach for Distributed User Interfaces,11--20,,10,"and scenario, distributed user interface, distribution graph, meta-user interface, primitives, shared displays, ubiquitous computing, user interface toolkit.",10.1145/1996461.1996488,,,,,,,2011,,Proceedings of the 3rd ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '11,,978-1-4503-0670-6,"Pisa, Italy",ACM,"New York, NY, USA"
article,192462,Ken  Miyashita and Satoshi  Matsuoka and Shin  Takahashi and Akinori  Yonezawa,,,,,,,,Interactive Generation of Graphical User Interfaces by Multiple Visual Examples,85--94,,10,"constraint hierarchies, graphical user interfaces, programming by example, visual parsing, visualization",10.1145/192426.192462,,,,,,,1994,,Proceedings of the 7th Annual ACM Symposium on User Interface Software and Technology,UIST '94,,0-89791-657-3,"Marina del Rey, California, USA",ACM,"New York, NY, USA"
article,1486520,Jo&#227;o  Bernardes and Ricardo  Nakamura and Daniel  Calife and Daniel  Tokunaga and Romero  Tori,,,,,,,,Integrating the Wii Controller with enJine: 3D Interfaces Extending the Frontiers of a Didactic Game Engine,12:1--12:19,12,19,"3D user interfaces, Game engine",10.1145/1486508.1486520,Comput. Entertain.,February 2009,7,1,,February,2009,1544-3574,,,,,,ACM,"New York, NY, USA"
article,985045,Wojciech  Wiza and Krzysztof  Walczak and Wojciech  Cellary,,,,,,,,Periscope: A System for Adaptive 3D Visualization of Search Results,29--40,,12,"adaptive interfaces, human-computer interfaces, virtual reality",10.1145/985040.985045,,,,,,,2004,,Proceedings of the Ninth International Conference on 3D Web Technology,Web3D '04,,1-58113-845-8,"Monterey, California",ACM,"New York, NY, USA"
article,1292359,Daniel Su Kuen Seong,,,,,,,,Usability Guidelines for Designing Mobile Learning Portals,,25,,"mobile learning, usability, user interface",10.1145/1292331.1292359,,,,,,,2006,,"Proceedings of the 3rd International Conference on Mobile Technology, Applications &#38; Systems",Mobility '06,,1-59593-519-3,"Bangkok, Thailand",ACM,"New York, NY, USA"
